"REID","Record Type Desc","Parcel Status Desc","Property Class Desc","Sale Date","Sale Price","Sale Type Desc","Sale Status Desc","Sale Disqualification Reason Desc","Ownership Document Number"
3426,Sale,ACTIVE,RESIDENTIAL,"12/12/2022 12:00:01 AM",509000.00,PACKAGE,QUALIFIED,,2355955
3447,Sale,ACTIVE,RESIDENTIAL,"5/9/2022 12:00:01 AM",595000.00,PACKAGE,QUALIFIED,,2327390
3507,Sale,ACTIVE,RESIDENTIAL,"6/1/2022 12:00:01 AM",350000.00,PACKAGE,QUALIFIED,,2330938
3534,Sale,ACTIVE,RESIDENTIAL,"3/25/2022 12:00:01 AM",745000.00,PACKAGE,QUALIFIED,,2320780
3572,Sale,ACTIVE,RESIDENTIAL,"7/6/2022 12:00:01 AM",875000.00,PACKAGE,QUALIFIED,,2336076
3574,Sale,ACTIVE,RESIDENTIAL,"4/29/2022 12:00:01 AM",289900.00,PACKAGE,QUALIFIED,,2326167
3602,Sale,ACTIVE,RESIDENTIAL,"7/26/2022 12:00:02 AM",478000.00,PACKAGE,QUALIFIED,,2338515
3648,Sale,ACTIVE,RESIDENTIAL,"6/9/2022 12:00:01 AM",336900.00,PACKAGE,QUALIFIED,,2332257
3694,Sale,ACTIVE,RESIDENTIAL,"6/24/2022 12:00:01 AM",355000.00,PACKAGE,QUALIFIED,,2334312
3721,Sale,ACTIVE,RESIDENTIAL,"7/27/2022 12:00:01 AM",395000.00,PACKAGE,QUALIFIED,,2338724
3722,Sale,ACTIVE,RESIDENTIAL,"4/25/2022 12:00:01 AM",365000.00,PACKAGE,QUALIFIED,,2325259
3773,Sale,ACTIVE,RESIDENTIAL,"3/18/2022 12:00:01 AM",385000.00,PACKAGE,QUALIFIED,,2319700
3777,Sale,ACTIVE,RESIDENTIAL,"6/3/2022 12:00:01 AM",429000.00,PACKAGE,QUALIFIED,,2331526
3785,Sale,ACTIVE,COMMERCIAL,"2/4/2022 12:00:01 AM",120000.00,LAND,QUALIFIED,,2313552
3786,Sale,ACTIVE,COMMERCIAL,"6/22/2022 12:00:01 AM",640000.00,PACKAGE,QUALIFIED,,2333903
3795,Sale,ACTIVE,RESIDENTIAL,"12/13/2022 12:00:01 AM",500000.00,PACKAGE,QUALIFIED,,2356063
3812,Sale,ACTIVE,RESIDENTIAL,"6/24/2022 12:00:01 AM",1199850.00,PACKAGE,QUALIFIED,,2334397
3826,Sale,ACTIVE,RESIDENTIAL,"9/27/2022 12:00:01 AM",478687.00,PACKAGE,QUALIFIED,,2347631
